"","len","freq","err","condition","pred"
"97","4","0.02","0.333","X[,3]>2.45 & X[,3]<=4.85 & X[,3]>4.65 & X[,4]>1.65","virginica"
"98","4","0.04","0.333","X[,3]>2.45 & X[,3]>4.85 & X[,3]<=5.35 & X[,4]<=1.75","versicolor"
"99","4","0.013","0","X[,3]>2.45 & X[,3]>4.85 & X[,3]>5.35 & X[,4]<=1.75","virginica"
"100","3","0.287","0","X[,3]>2.45 & X[,3]>4.85 & X[,4]>1.75","virginica"
"101","1","0.333","0","X[,4]<=0.7","setosa"
"102","4","0.32","0.021","X[,3]<=5.35 & X[,3]<=4.95 & X[,4]>0.7 & X[,4]<=1.7","versicolor"
"103","5","0.013","0","X[,3]<=5.35 & X[,3]>4.95 & X[,4]>0.7 & X[,4]<=1.7 & X[,4]<=1.55","virginica"
"104","5","0.013","0","X[,3]<=5.35 & X[,3]>4.95 & X[,4]>0.7 & X[,4]<=1.7 & X[,4]>1.55","versicolor"
"105","3","0.013","0","X[,3]>5.35 & X[,4]>0.7 & X[,4]<=1.7","virginica"
"106","4","0.013","0","X[,2]<=3.1 & X[,3]<=4.85 & X[,4]>0.7 & X[,4]>1.7","virginica"
"107","4","0.007","0","X[,2]>3.1 & X[,3]<=4.85 & X[,4]>0.7 & X[,4]>1.7","versicolor"
"108","3","0.287","0","X[,3]>4.85 & X[,4]>0.7 & X[,4]>1.7","virginica"
"109","1","0.333","0","X[,3]<=2.6","setosa"
"110","3","0.293","0","X[,3]>2.6 & X[,3]<=4.75 & X[,4]<=1.65","versicolor"
"111","3","0.007","0","X[,3]>2.6 & X[,3]<=4.75 & X[,4]>1.65","virginica"
"112","4","0.047","0.286","X[,2]<=3.05 & X[,3]>2.6 & X[,3]>4.75 & X[,3]<=4.95","virginica"
"113","4","0.013","0","X[,2]>3.05 & X[,3]>2.6 & X[,3]>4.75 & X[,3]<=4.95","versicolor"
"114","3","0.307","0.043","X[,3]>2.6 & X[,3]>4.75 & X[,3]>4.95","virginica"
"115","2","0.333","0","X[,3]<=2.45 & X[,4]<=1.65","setosa"
"116","3","0.027","0.25","X[,2]<=2.25 & X[,3]>2.45 & X[,4]<=1.65","versicolor"
"117","4","0.307","0.022","X[,2]>2.25 & X[,3]>2.45 & X[,3]<=5.35 & X[,4]<=1.65","versicolor"
"118","4","0.013","0","X[,2]>2.25 & X[,3]>2.45 & X[,3]>5.35 & X[,4]<=1.65","virginica"
"119","3","0.02","0","X[,2]<=3.1 & X[,3]<=4.85 & X[,4]>1.65","virginica"
"120","3","0.007","0","X[,2]>3.1 & X[,3]<=4.85 & X[,4]>1.65","versicolor"
"121","2","0.293","0.023","X[,3]>4.85 & X[,4]>1.65","virginica"
"122","4","0.013","0","X[,2]<=3.1 & X[,3]>2.45 & X[,3]<=4.85 & X[,4]>1.75","virginica"
"123","4","0.007","0","X[,2]>3.1 & X[,3]>2.45 & X[,3]<=4.85 & X[,4]>1.75","versicolor"
"124","3","0.32","0.021","X[,3]>2.45 & X[,3]<=5 & X[,4]<=1.6","versicolor"
"125","3","0.027","0.25","X[,3]>2.45 & X[,3]>5 & X[,4]<=1.6","virginica"
"126","4","0.02","0","X[,2]<=3 & X[,3]>2.45 & X[,3]<=4.85 & X[,4]>1.6","virginica"
"127","4","0.007","0","X[,2]>3 & X[,3]>2.45 & X[,3]<=4.85 & X[,4]>1.6","versicolor"
"128","3","0.293","0.023","X[,3]>2.45 & X[,3]>4.85 & X[,4]>1.6","virginica"
"129","4","0.32","0.021","X[,3]<=5.05 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]<=1.6","versicolor"
"130","5","0.007","0","X[,2]<=2.75 & X[,3]<=5.05 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]>1.6","virginica"
"131","5","0.007","0","X[,2]>2.75 & X[,3]<=5.05 & X[,4]>0.8 & X[,4]<=1.75 & X[,4]>1.6","versicolor"
"132","4","0.013","0.5","X[,2]<=2.75 & X[,3]>5.05 & X[,4]>0.8 & X[,4]<=1.75","versicolor"
"133","4","0.013","0","X[,2]>2.75 & X[,3]>5.05 & X[,4]>0.8 & X[,4]<=1.75","virginica"
"134","2","0.333","0","X[,4]<=1.65 & X[,4]<=0.8","setosa"
"135","3","0.333","0.04","X[,3]<=5.35 & X[,4]<=1.65 & X[,4]>0.8","versicolor"
"136","3","0.013","0","X[,3]>5.35 & X[,4]<=1.65 & X[,4]>0.8","virginica"
"137","3","0.013","0","X[,2]<=2.85 & X[,3]<=4.85 & X[,4]>1.65","virginica"
"138","3","0.013","0.5","X[,2]>2.85 & X[,3]<=4.85 & X[,4]>1.65","versicolor"
"139","1","0.333","0","X[,3]<=2.35","setosa"
"140","2","0.327","0.0610000000000001","X[,3]>2.35 & X[,3]<=4.85","versicolor"
"141","4","0.027","0.25","X[,3]>2.35 & X[,3]>4.85 & X[,3]<=5.05 & X[,4]<=1.75","versicolor"
"142","4","0.027","0.25","X[,3]>2.35 & X[,3]>4.85 & X[,3]>5.05 & X[,4]<=1.75","virginica"
"143","3","0.287","0","X[,3]>2.35 & X[,3]>4.85 & X[,4]>1.75","virginica"
"144","3","0.3","0","X[,3]<=4.85 & X[,4]>0.75 & X[,4]<=1.65","versicolor"
"145","4","0.02","0","X[,2]<=3 & X[,3]<=4.85 & X[,4]>0.75 & X[,4]>1.65","virginica"
"146","4","0.007","0","X[,2]>3 & X[,3]<=4.85 & X[,4]>0.75 & X[,4]>1.65","versicolor"
"147","5","0.007","0","X[,2]<=2.35 & X[,3]>4.85 & X[,3]<=5.05 & X[,4]>0.75 & X[,4]<=1.75","virginica"
"148","5","0.02","0","X[,2]>2.35 & X[,3]>4.85 & X[,3]<=5.05 & X[,4]>0.75 & X[,4]<=1.75","versicolor"
"149","4","0.027","0.25","X[,3]>4.85 & X[,3]>5.05 & X[,4]>0.75 & X[,4]<=1.75","virginica"
"150","3","0.287","0","X[,3]>4.85 & X[,4]>0.75 & X[,4]>1.75","virginica"
"151","4","0.313","0","X[,3]>2.6 & X[,3]<=4.95 & X[,4]<=1.75 & X[,4]<=1.65","versicolor"
"152","4","0.007","0","X[,3]>2.6 & X[,3]<=4.95 & X[,4]<=1.75 & X[,4]>1.65","virginica"
"153","4","0.02","0","X[,3]>2.6 & X[,3]>4.95 & X[,4]<=1.75 & X[,4]<=1.55","virginica"
"154","4","0.02","0.333","X[,3]>2.6 & X[,3]>4.95 & X[,4]<=1.75 & X[,4]>1.55","versicolor"
"155","4","0.013","0","X[,2]<=3 & X[,3]>2.6 & X[,3]<=4.85 & X[,4]>1.75","virginica"
"156","4","0.007","0","X[,2]>3 & X[,3]>2.6 & X[,3]<=4.85 & X[,4]>1.75","versicolor"
"157","3","0.287","0","X[,3]>2.6 & X[,3]>4.85 & X[,4]>1.75","virginica"
"158","3","0.3","0","X[,3]<=4.85 & X[,4]>0.8 & X[,4]<=1.65","versicolor"
"159","4","0.02","0","X[,2]<=3.1 & X[,3]<=4.85 & X[,4]>0.8 & X[,4]>1.65","virginica"
"160","4","0.007","0","X[,2]>3.1 & X[,3]<=4.85 & X[,4]>0.8 & X[,4]>1.65","versicolor"
"161","4","0.027","0.25","X[,3]>4.85 & X[,3]<=5.05 & X[,4]>0.8 & X[,4]<=1.75","versicolor"
"162","4","0.027","0.25","X[,3]>4.85 & X[,3]>5.05 & X[,4]>0.8 & X[,4]<=1.75","virginica"
"163","3","0.313","0","X[,3]>2.35 & X[,3]<=4.95 & X[,4]<=1.65","versicolor"
"164","3","0.033","0.2","X[,3]>2.35 & X[,3]>4.95 & X[,4]<=1.65","virginica"
"165","2","0.32","0.042","X[,3]>2.35 & X[,4]>1.65","virginica"
"166","5","0.313","0","X[,3]<=5.35 & X[,3]<=4.95 & X[,4]>0.75 & X[,4]<=1.75 & X[,4]<=1.65","versicolor"
"167","6","0.007","0","X[,2]<=2.45 & X[,3]<=5.35 & X[,3]>4.95 & X[,4]>0.75 & X[,4]<=1.75 & X[,4]<=1.65","virginica"
"168","6","0.013","0.5","X[,2]>2.45 & X[,3]<=5.35 & X[,3]>4.95 & X[,4]>0.75 & X[,4]<=1.75 & X[,4]<=1.65","versicolor"
"169","5","0.007","0","X[,3]<=5.35 & X[,3]<=4.75 & X[,4]>0.75 & X[,4]<=1.75 & X[,4]>1.65","virginica"
"170","5","0.007","0","X[,3]<=5.35 & X[,3]>4.75 & X[,4]>0.75 & X[,4]<=1.75 & X[,4]>1.65","versicolor"
"171","3","0.013","0","X[,3]>5.35 & X[,4]>0.75 & X[,4]<=1.75","virginica"
"172","3","0.02","0.333","X[,3]<=4.85 & X[,4]>0.75 & X[,4]>1.75","virginica"
"173","3","0.333","0.04","X[,3]>2.45 & X[,3]<=5.35 & X[,4]<=1.65","versicolor"
"174","3","0.013","0","X[,3]>2.45 & X[,3]>5.35 & X[,4]<=1.65","virginica"
"175","4","0.007","0","X[,3]>2.45 & X[,3]<=4.75 & X[,4]>1.65 & X[,4]<=1.75","virginica"
"176","4","0.007","0","X[,3]>2.45 & X[,3]>4.75 & X[,4]>1.65 & X[,4]<=1.75","versicolor"
