,len,freq,err,condition,pred,Acc,new_standard
2634,5,0.003,0.271,"F_BR %in% c('4','5','6','7','8') & PA_TOT %in% c('2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & E_EDU_F %in% c('1','2')",1,0.729,0.002187
5283,7,0.003,0.274,"PR_HT %in% c('2','4','5') & F_FASTFOOD %in% c('1','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_SYMP6 %in% c('1') & AGE>3.5 & E_EDU_F %in% c('2','4')",1,0.726,0.002178
3217,5,0.003,0.282,"PR_HT %in% c('1','2','4') & WC_MN_M03 %in% c('1') & M_SLP_EN %in% c('3') & O_SYMP2 %in% c('1') & GRADE %in% c('2')",0,0.718,0.002154
535,5,0.003,0.286,"F_MILK %in% c('1','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & E_S_RCRD %in% c('3') & E_EDU_F %in% c('1','2')",1,0.714,0.002142
3174,5,0.004,0.467,"F_VEG %in% c('2') & F_CS_F07 %in% c('9999') & PA_SWK_N %in% c('0','1','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')",1,0.533,0.002132
2974,4,0.004,0.471,"WC_MN_M03 %in% c('1') & HW_S_R %in% c('7','9') & TC_GHW_QT %in% c('3','9999') & E_EDU_F %in% c('3')",1,0.529,0.002116
1130,4,0.004,0.473,"F_FASTFOOD %in% c('3','4','5','6','7') & PA_MSC %in% c('1','3') & WC_MN_M03 %in% c('1') & E_EDU_M %in% c('2')",1,0.527,0.002108
4184,5,0.004,0.48,"PA_WLK %in% c('1','3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & INT_WK_MM %in% c('0','2','3','4','5','6','7','8','9','10') & E_SES %in% c('2')",1,0.52,0.00208
3103,5,0.004,0.484,"PA_SWD_S %in% c('1','2','3','4','5','6','7','8','9','10','11','12','13','14') & PA_SWK_S %in% c('2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & GRADE %in% c('2')",1,0.516,0.002064
4236,6,0.003,0.315,"PA_MSC %in% c('1') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_BR_S %in% c('2','3','4') & I_SB_FR %in% c('1','3','4','5') & E_EDU_F %in% c('2','9999')",1,0.685,0.002055
5587,5,0.003,0.322,"PR_HT %in% c('3','4','5') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_SYMP3 %in% c('0') & TC_QT_YR %in% c('1','2')",1,0.678,0.002034
539,5,0.003,0.333,"PR_HT %in% c('1','4','5') & F_MILK %in% c('1','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & E_EDU_F %in% c('1','2')",1,0.667,0.002001
4914,7,0.003,0.333,"F_BR %in% c('2','4','5','6','7','8') & PA_TOT %in% c('2') & PA_ST %in% c('1','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_BR_S %in% c('2','3','4') & E_EDU_F %in% c('1','2','4')",1,0.667,0.002001
2767,5,0.002,0,"PA_MSC %in% c('3') & PA_SWK_N %in% c('0','1','2') & WC_MN %in% c('1','3','4') & RH_DG_YR %in% c('2') & GRADE %in% c('1','3')",0,1,0.002
3311,3,0.002,0,"PA_TRA %in% c('1') & WC_MN %in% c('3') & HW_S_R %in% c('1','6')",0,1,0.002
3600,5,0.002,0,"F_CS %in% c('3') & F_WAT %in% c('3') & PA_SWK_N %in% c('2','3') & O_BR_FQ %in% c('1','2','4','5','6','7','8','9','10') & GRADE %in% c('1','2')",0,1,0.002
4581,3,0.002,0,"PA_SWD_N %in% c('0','2') & WC_MN %in% c('3') & TC_SND_S %in% c('3')",0,1,0.002
5831,3,0.003,0.34,"WC_MN_M03 %in% c('1') & AC_FAGE %in% c('1','2','4') & AGE<=2.5",0,0.66,0.00198
2310,4,0.002,0.016,"WC_MN %in% c('1','3','4') & O_OCP5 %in% c('9999') & AC_FAGE %in% c('3','4','5','6','7','8','9','10','11','12','13','14') & SleepAvg_WK %in% c('3')",0,0.984,0.001968
2645,3,0.002,0.016,"WC_MN %in% c('3') & I_SB_EX %in% c('1','3','4','5') & TC_SND_S %in% c('3')",0,0.984,0.001968
2659,4,0.002,0.018,"F_WAT %in% c('1','2') & PA_MSC %in% c('2','3','4','5','6') & WC_MN_M03 %in% c('0','9999') & TC_QT_YR %in% c('1')",0,0.982,0.001964
2456,3,0.002,0.019,"WC_MN %in% c('1','4') & TC_HTP_MN %in% c('1','2','3','4','5','6','7') & GRADE %in% c('2')",0,0.981,0.001962
4038,6,0.002,0.019,"F_FASTFOOD %in% c('1') & PA_MSC %in% c('3') & WC_MN %in% c('1','3','4') & I_SCH_ED2 %in% c('2') & E_SES %in% c('2') & E_EDU_F %in% c('2','4','8888','9999')",0,0.981,0.001962
4109,4,0.002,0.019,"F_WAT %in% c('2') & PA_TRA_MM %in% c('2','3') & WC_MN_M03 %in% c('0','9999') & I_SB_FR %in% c('3')",0,0.981,0.001962
4431,4,0.002,0.019,"F_FRUIT %in% c('3') & F_MILK %in% c('3','4','5','6','7') & F_WAT %in% c('2') & HW_S_R %in% c('4','6','7')",0,0.981,0.001962
5106,5,0.003,0.347,"PR_HT %in% c('2','4') & PA_VIG %in% c('2') & WC_MN_M03 %in% c('1') & HW_SPGO_H %in% c('1') & AGE>5.5",1,0.653,0.001959
1223,5,0.002,0.022,"PR_HT %in% c('1','2') & F_WAT %in% c('2') & PA_MSC %in% c('2') & PA_WLK %in% c('2','3') & WC_MN %in% c('1','4')",0,0.978,0.001956
1671,3,0.002,0.022,"WC_MN %in% c('1','4') & GRADE %in% c('1','2') & SleepAvg_WK %in% c('0','3')",0,0.978,0.001956
2498,3,0.002,0.022,"WC_MN %in% c('3') & WC_MN_M03 %in% c('0','9999') & TC_HTP_MN %in% c('2')",0,0.978,0.001956
3817,4,0.002,0.024,"F_WAT %in% c('2') & WC_MN_M03 %in% c('0','9999') & O_BR_S %in% c('1','2') & TC_GHW_QT %in% c('1')",0,0.976,0.001952
3059,4,0.003,0.352,"PA_SWK_S %in% c('0') & WC_MN_M03 %in% c('1') & M_SLP_EN %in% c('2','3','4','5') & INT_WK_MM %in% c('1')",0,0.648,0.001944
1657,5,0.002,0.03,"PR_HT %in% c('2','4','5') & PA_TOT %in% c('2','3') & WC_MN %in% c('1','4') & RH_DG_YR %in% c('2') & GRADE %in% c('2')",0,0.97,0.00194
1197,4,0.003,0.354,"PR_HT %in% c('4','5') & F_VEG %in% c('1','3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')",1,0.646,0.001938
2389,4,0.002,0.031,"WC_MN %in% c('3') & WC_MN_M03 %in% c('0','9999') & E_EDU_M %in% c('2','3','4','8888','9999') & SleepAvg_WK %in% c('2','4')",0,0.969,0.001938
5315,5,0.002,0.031,"PR_HT %in% c('1') & WC_MN %in% c('1','4') & WC_MN_M03 %in% c('0','9999') & O_BR_FQ %in% c('2') & GRADE %in% c('2')",0,0.969,0.001938
3588,5,0.002,0.032,"F_CS_F10 %in% c('10') & F_WAT %in% c('2') & WC_MN_M03 %in% c('0','9999') & HW_S_R %in% c('1','3','4','5','6','7','8','9','10') & INT_WK_MM %in% c('0','1')",0,0.968,0.001936
1537,5,0.002,0.033,"F_BR %in% c('1','2','3') & WC_MN %in% c('1','3','4') & O_BR_FQ %in% c('1','2','3') & HW_S_R %in% c('7','10') & GRADE %in% c('2')",0,0.967,0.001934
2546,5,0.002,0.033,"PA_MSC %in% c('3') & WC_MN %in% c('1','3','4') & HW_S_R %in% c('1','5','6','7','8','10') & TC_GHW_QT %in% c('3') & GRADE %in% c('2','3','4','5','6')",0,0.967,0.001934
5923,6,0.003,0.356,"WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_BR_S %in% c('2','3','4') & PR_OH %in% c('1') & GRADE %in% c('1','3','4','5','6') & E_FM_OBS_7 %in% c('9999')",1,0.644,0.001932
190,2,0.002,0.034,F_WAT %in% c('1') & PA_MSC %in% c('3'),0,0.966,0.001932
713,6,0.002,0.034,"F_FASTFOOD %in% c('1') & F_VEG %in% c('2') & PA_SWK_S %in% c('1','2','3','4','5','6','7','8','9','10','11') & WC_MN %in% c('1','3','4') & O_BR_FQ %in% c('1','3') & GRADE %in% c('1','2')",0,0.966,0.001932
2744,4,0.002,0.034,"PR_HT %in% c('1') & I_SB_FR %in% c('1','3','4','5') & TC_SND_S %in% c('2','4','5','6','7','8') & GRADE %in% c('2')",0,0.966,0.001932
5596,6,0.002,0.034,"PR_HT %in% c('3','4','5') & PA_MSC %in% c('3') & PA_SWK_N %in% c('0','1','2') & WC_MN %in% c('1','3','4') & AC_FAGE %in% c('3','4','5','6','7','8','9','10','11','12','13','14') & AGE<=4.5",0,0.966,0.001932
4041,5,0.002,0.035,"F_FASTFOOD %in% c('3') & PA_MSC %in% c('3') & PA_SWK_N %in% c('0','1','2') & WC_MN %in% c('1','3','4') & AGE<=3.5",0,0.965,0.00193
1972,5,0.002,0.036,"F_CS_F07 %in% c('9999') & F_WAT %in% c('1','2') & PA_MSC %in% c('2') & WC_MN %in% c('1','3','4') & O_BR_S %in% c('1')",0,0.964,0.001928
176,4,0.002,0.037,"F_WAT %in% c('1','2') & PA_MSC %in% c('3') & PA_SWK_N %in% c('0','3','4','5','6','7','8','9','10','11','12') & GRADE %in% c('2')",0,0.963,0.001926
4564,6,0.003,0.358,"F_WAT %in% c('3','4','5') & PA_WLK %in% c('2','3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_BR_FQ %in% c('3') & AGE>2.5",1,0.642,0.001926
3599,5,0.002,0.038,"F_VEG %in% c('2') & F_WAT %in% c('3') & PA_MSC %in% c('2','3','4','5','6') & TC_SND_H %in% c('2','3','4','5','6','7','8') & GRADE %in% c('1','2')",0,0.962,0.001924
5859,5,0.002,0.038,"PA_VIG %in% c('1') & WC_MN %in% c('1','3','4') & I_SB_BK %in% c('1','2') & INT_WD_MM %in% c('2') & AGE<=2.5",0,0.962,0.001924
3205,3,0.002,0.039,"F_WAT %in% c('1','2') & PA_SWK_N %in% c('0') & GRADE %in% c('1','2')",0,0.961,0.001922
4046,3,0.002,0.039,"WC_MN %in% c('1','4') & AC_DAYS %in% c('3','4','5','6','7') & GRADE %in% c('1')",0,0.961,0.001922
5381,3,0.002,0.04,F_WAT %in% c('2') & PA_WLK %in% c('1') & PR_OH %in% c('2'),0,0.96,0.00192
1003,4,0.002,0.041,"F_CAFFEINE %in% c('2') & F_WAT %in% c('2') & HW_S_R %in% c('5','6','7','10') & I_SCH_ED5 %in% c('5')",0,0.959,0.001918
1650,2,0.002,0.041,WC_MN %in% c('3') & TC_HTP_MN %in% c('2'),0,0.959,0.001918
2612,5,0.002,0.042,"PR_HT %in% c('3','4','5') & WC_MN_M03 %in% c('0','9999') & O_EDU %in% c('1') & I_SB_EX %in% c('3') & GRADE %in% c('1')",0,0.958,0.001916
2545,4,0.002,0.043,"PA_MSC %in% c('3') & WC_MN %in% c('1','3','4') & O_BR_FQ %in% c('2') & HW_S_R %in% c('1','5','6','7','8','10')",0,0.957,0.001914
2562,5,0.002,0.043,"PR_HT %in% c('1','2') & F_WAT %in% c('1','2') & WC_MN %in% c('1','4') & O_BR_FQ %in% c('1','2') & I_SB_FR %in% c('3')",0,0.957,0.001914
3207,5,0.002,0.043,"PR_HT %in% c('3','4','5') & F_WAT %in% c('1','2') & WC_MN_M03 %in% c('0','9999') & WC_MN_M06 %in% c('0') & HW_S_R %in% c('1','4','5','9')",0,0.957,0.001914
3622,7,0.002,0.043,"PR_HT %in% c('1','2','3') & F_FRUIT %in% c('3','4','5','6','7') & F_FASTFOOD %in% c('2','3','4','5','6','7') & PA_MSC %in% c('1','2') & WC_MN %in% c('1','3','4') & AC_ACCESS %in% c('2','3','4','5') & AGE<=2.5",0,0.957,0.001914
5425,5,0.002,0.043,"PA_TOT %in% c('1') & PA_MSC %in% c('3') & PA_SWK_N %in% c('3','4','5','6','7','8','9','10','11','12') & WC_MN %in% c('1','3','4') & E_EDU_M %in% c('4')",0,0.957,0.001914
5505,4,0.002,0.043,"F_WAT %in% c('1','2') & WC_MN_M03 %in% c('0','9999') & HW_SPRM_H %in% c('3','4') & TC_HTP_MN %in% c('1','2','3','4','5','6','7')",0,0.957,0.001914
1012,6,0.002,0.044,"F_CS_F04 %in% c('4') & PA_MSC %in% c('3') & PA_SWK_S %in% c('1','3') & WC_MN %in% c('1','3','4') & HW_SPGO_H %in% c('1','3','4') & INT_WK_MM %in% c('0')",0,0.956,0.001912
2975,2,0.002,0.044,"WC_MN %in% c('3') & SleepAvg_WK %in% c('1','4')",0,0.956,0.001912
2171,5,0.002,0.045,"F_MILK %in% c('3','4','5','6','7') & F_WAT %in% c('1','2') & PA_MSC %in% c('3') & WC_MN %in% c('1','3','4') & I_SCH_TRT %in% c('2')",0,0.955,0.00191
3629,3,0.002,0.045,"WC_MN %in% c('1','3','4') & HW_S_R %in% c('4') & AGE<=2.5",0,0.955,0.00191
4159,4,0.002,0.045,"F_BR %in% c('3') & F_WAT %in% c('1','2') & PA_MSC %in% c('3','4','5','6') & WC_MN %in% c('1','4')",0,0.955,0.00191
2116,5,0.002,0.046,"F_WAT %in% c('3') & PA_SWK_N %in% c('0','1','2') & WC_MN_M03 %in% c('0','9999') & HW_SPGO_H %in% c('2') & GRADE %in% c('2')",0,0.954,0.001908
3873,6,0.002,0.046,"PR_HT %in% c('1','2') & F_WAT %in% c('1','2') & PA_MSC %in% c('2','3','4','5','6') & PA_TRA_MM %in% c('0') & WC_MN %in% c('2') & WC_MN_M03 %in% c('0','9999')",0,0.954,0.001908
4429,4,0.002,0.046,"F_WAT %in% c('2') & PA_TRA %in% c('1','2','3') & WC_MN %in% c('1','4') & HW_S_R %in% c('4','6','7')",0,0.954,0.001908
5221,5,0.003,0.364,"PA_SWK_N %in% c('0','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & M_SLP_EN %in% c('1') & GRADE %in% c('1','3','4','5','6')",1,0.636,0.001908
5428,4,0.002,0.048,"F_WAT %in% c('2') & PA_MSC %in% c('3') & WC_MN %in% c('1','3','4') & INT_WK_MM %in% c('1')",0,0.952,0.001904
5772,4,0.002,0.048,"PR_HT %in% c('1','2') & PA_VIG %in% c('2') & HW_S_R %in% c('4','6','10') & GRADE %in% c('2')",0,0.952,0.001904
5296,7,0.002,0.05,"F_FRUIT %in% c('2','4','5','6','7') & PA_MSC %in% c('2') & PA_SWK_S %in% c('2') & WC_MN %in% c('1','3','4') & TC_GHW_QT %in% c('1','2','3','9999') & ECZ_DG_LT %in% c('1') & GRADE %in% c('1','3')",0,0.95,0.0019
4224,6,0.003,0.371,"F_CAFFEINE %in% c('1') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_BR_FQ %in% c('1','2') & I_SCH_ED4 %in% c('4') & GRADE %in% c('1','3','4','5','6')",1,0.629,0.001887
4798,7,0.003,0.371,"PR_HT %in% c('3','4','5') & F_WAT %in% c('2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & HW_SPGO_H %in% c('1','3','4') & HW_S_R %in% c('1','2','3','4') & ECZ_DG_LT %in% c('1')",1,0.629,0.001887
6068,6,0.003,0.371,"PR_HT %in% c('3','4','5') & PA_TRA %in% c('2','3','4','5','6','7','8') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & I_SB_FR %in% c('1','2') & GRADE %in% c('2')",1,0.629,0.001887
972,5,0.003,0.375,"F_MILK %in% c('1','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & I_SB_BK %in% c('2') & E_EDU_F %in% c('1','2')",1,0.625,0.001875
1135,4,0.003,0.375,PA_SWK_S %in% c('1') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & M_SLP_EN %in% c('1'),1,0.625,0.001875
5094,6,0.003,0.375,"PR_HT %in% c('3','4','5') & F_WAT %in% c('1','3','4','5') & WC_MN %in% c('2') & HW_S_R %in% c('4','6','8','9') & I_SB_BK %in% c('1','3','4','5') & E_LT_F %in% c('1')",1,0.625,0.001875
2265,4,0.003,0.378,"PR_HT %in% c('3','4','5') & F_CS_F07 %in% c('9999') & WC_MN %in% c('2') & O_BR_FQ %in% c('2')",1,0.622,0.001866
4136,3,0.003,0.378,F_CS_F06 %in% c('6') & WC_MN %in% c('2') & INT_WK_MM %in% c('2'),1,0.622,0.001866
2618,4,0.002,0.074,"HW_S_R %in% c('1','7') & I_SB_FR %in% c('3','4','5') & GRADE %in% c('2') & E_EDU_F %in% c('3')",0,0.926,0.001852
995,5,0.003,0.385,"PA_VIG %in% c('1','3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & M_SLP_EN %in% c('1') & HW_S_R %in% c('1','2','6','7','9')",1,0.615,0.001845
4333,5,0.003,0.386,"PR_HT %in% c('1') & PA_VIG %in% c('1','3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & E_EDU_F %in% c('2')",1,0.614,0.001842
5714,4,0.003,0.386,"PA_TOT %in% c('2') & PA_VIG %in% c('1','3','4','5','6') & WC_MN %in% c('2') & E_EDU_F %in% c('2')",1,0.614,0.001842
1518,3,0.003,0.39,"PR_HT %in% c('4','5') & F_VEG %in% c('3') & WC_MN %in% c('2')",1,0.61,0.00183
3087,5,0.002,0.09,"F_WAT %in% c('2') & WC_MN_M03 %in% c('0','9999') & HW_SPRM_H %in% c('3','4') & HW_S_R %in% c('1','4','6','7') & I_SB_EX %in% c('1','3','4','5')",0,0.91,0.00182
5272,3,0.002,0.091,"AC_FAGE %in% c('4') & RH_DG_YR %in% c('1','2') & AGE<=3.5",0,0.909,0.001818
1708,3,0.002,0.093,"PA_WLK %in% c('1') & PA_TRA %in% c('2','3') & E_EDU_F %in% c('8888','9999')",0,0.907,0.001814
3646,5,0.003,0.402,"PR_HT %in% c('2','4') & WC_MN %in% c('2') & TC_HTP_MN %in% c('1','2','3','4','5','6','7') & AGE<=6.5 & E_EDU_M %in% c('1','2','8888','9999')",1,0.598,0.001794
3214,4,0.002,0.105,"PR_HT %in% c('3','4','5') & F_WAT %in% c('3','4','5') & WC_MN_M03 %in% c('0','9999') & SleepAvg_WK %in% c('2','3')",0,0.895,0.00179
1646,5,0.003,0.405,"PR_HT %in% c('2','3','4','5') & F_VEG %in% c('3') & F_CS_F06 %in% c('6') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')",1,0.595,0.001785
1967,6,0.003,0.405,"F_FASTFOOD %in% c('2') & F_MILK %in% c('2') & F_CS_F07 %in% c('9999') & PA_MSC %in% c('2') & WC_MN_M03 %in% c('1') & TC_GHW_QT %in% c('1','2','3','4')",1,0.595,0.001785
5291,4,0.003,0.407,"PA_SWD_S %in% c('2','3') & WC_MN_M03 %in% c('1') & O_SYMP6 %in% c('1') & AGE>3.5",1,0.593,0.001779
3114,4,0.002,0.111,"PR_HT %in% c('1','2') & O_OCP3 %in% c('9999') & O_EDU %in% c('2') & AC_FAGE %in% c('4')",0,0.889,0.001778
73,5,0.002,0.114,"M_SLP_EN %in% c('1','2') & HW_S_R %in% c('2','4','9','10') & I_SB_EX %in% c('1','3','4','5') & GRADE %in% c('2') & E_EDU_F %in% c('2')",0,0.886,0.001772
2422,7,0.003,0.41,"PA_SWK_N %in% c('1','2','4','5','6','7','8','9','10','11','12') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_SLNT %in% c('1') & AC_FAGE %in% c('1','3','4') & RH_DG_YR %in% c('1','9999') & GRADE %in% c('3','4','5','6')",1,0.59,0.00177
3442,3,0.002,0.116,"WC_MN_M03 %in% c('0','9999') & O_BR_FQ %in% c('3') & SleepAvg_WK %in% c('0','3')",0,0.884,0.001768
1373,5,0.003,0.411,"F_WAT %in% c('1','2','4','5') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & GRADE %in% c('2') & E_EDU_F %in% c('2')",1,0.589,0.001767
5534,4,0.003,0.412,"WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & TC_SND_H %in% c('3','4','5','6','7','8') & TC_SND_S %in% c('2')",1,0.588,0.001764
303,4,0.002,0.119,"F_CAFFEINE %in% c('3') & WC_MN %in% c('1','4') & O_SYMP6 %in% c('1') & GRADE %in% c('1','2')",0,0.881,0.001762
4130,4,0.003,0.414,WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & M_SLP_EN %in% c('1') & INT_WK_MM %in% c('2'),1,0.586,0.001758
4055,4,0.002,0.121,"O_BR_FQ %in% c('3') & HW_S_R %in% c('5','6','9') & I_SB_BK %in% c('2') & GRADE %in% c('2')",0,0.879,0.001758
3899,7,0.003,0.425,"PA_TOT %in% c('1','3') & PA_SWK_N %in% c('2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_BR_FQ %in% c('1','2','4','5','6','7','8','9','10') & HW_S_R %in% c('1','2','5','6','7','9','10') & GRADE %in% c('3','4','5','6')",1,0.575,0.001725
2411,5,0.003,0.426,"PR_HT %in% c('3','4','5') & F_FASTFOOD %in% c('3','4','5','6','7') & PA_TRA %in% c('4','5','6','7','8') & WC_MN_M03 %in% c('1') & GRADE %in% c('1','2')",1,0.574,0.001722
1371,4,0.002,0.143,"HW_S_R %in% c('2','3','4','5','7','8','10') & TC_GHW_QT %in% c('2','3') & INT_WK_MM %in% c('1') & GRADE %in% c('2')",0,0.857,0.001714
3956,7,0.003,0.429,"F_FASTFOOD %in% c('1','2') & F_VEG %in% c('2') & F_CS_F07 %in% c('9999') & PA_MSC %in% c('1') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & GRADE %in% c('1','3','4','5','6')",1,0.571,0.001713
6023,4,0.003,0.429,"PA_VIG %in% c('2') & PA_TRA_MM %in% c('1') & WC_MN %in% c('2') & E_EDU_F %in% c('1','2','4')",1,0.571,0.001713
5917,4,0.003,0.43,"F_FASTFOOD %in% c('1') & PA_PE_FQ %in% c('1') & WC_MN %in% c('2') & E_FM_OBS_7 %in% c('7','8888')",1,0.57,0.00171
4300,4,0.002,0.145,"WC_MN %in% c('1','3','4') & O_OCP2 %in% c('2') & HW_S_R %in% c('2','4','6','7','10') & AC_ACCESS %in% c('4')",0,0.855,0.00171
4186,5,0.003,0.432,"PR_HT %in% c('3','4','5') & WC_MN_M03 %in% c('1') & TC_GHW_QT %in% c('2','9999') & GRADE %in% c('2') & E_EDU_F %in% c('3','4','8888','9999')",1,0.568,0.001704
4846,3,0.002,0.148,"TC_GHW_QT %in% c('1','4','9999') & GRADE %in% c('1','2') & SleepAvg_WK %in% c('3')",0,0.852,0.001704
108,5,0.003,0.435,"F_WAT %in% c('1','2') & PA_MSC %in% c('1','3') & PA_TRA_MM %in% c('0') & WC_MN %in% c('2') & HW_SPGO_H %in% c('3','4')",1,0.565,0.001695
2083,6,0.003,0.436,"F_FRUIT %in% c('2','4','5','6','7') & PA_TOT %in% c('2','3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_DC_FQ %in% c('2') & E_EDU_M %in% c('1','2','4','9999')",1,0.564,0.001692
3980,6,0.002,0.159,"F_CS_F04 %in% c('4') & PA_MSC %in% c('1','3','4','5','6') & PA_TRA_MM %in% c('1') & WC_MN %in% c('1','3','4') & O_OCP2 %in% c('2') & AGE>5.5",0,0.841,0.001682
5535,3,0.002,0.163,"AC_FAGE %in% c('1','2') & TC_HTP_MN %in% c('1','2','3','4','5','6','7') & TC_SND_H %in% c('3','4','5','6','7','8')",0,0.837,0.001674
209,5,0.003,0.443,"F_WAT %in% c('3','4','5') & PA_MSC %in% c('1','3') & PA_SWK_N %in% c('2') & WC_MN %in% c('2') & INT_WD_MM %in% c('2')",1,0.557,0.001671
485,4,0.003,0.444,F_VEG %in% c('3') & PA_MSC %in% c('3') & PA_TRA_MM %in% c('1') & WC_MN_M03 %in% c('1'),1,0.556,0.001668
2303,2,0.002,0.167,"AC_FAGE %in% c('4') & TC_GHW_QT %in% c('1','3')",0,0.833,0.001666
2688,5,0.002,0.167,"O_BR_FQ %in% c('1','2','4','5','6','7','8','9','10') & TC_SND_S %in% c('2','3','4','5','6','7','8') & E_SES %in% c('2') & GRADE %in% c('2') & E_EDU_M %in% c('1','4','8888','9999')",0,0.833,0.001666
1682,5,0.002,0.17,"F_FASTFOOD %in% c('2') & F_CS_F10 %in% c('10') & WC_MN_M03 %in% c('0','9999') & I_SB_EX %in% c('3') & E_EDU_F %in% c('1','2','9999')",0,0.83,0.00166
1258,5,0.003,0.449,"PR_HT %in% c('3','4','5') & PA_SWK_S %in% c('0') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_BR_S %in% c('1','2')",1,0.551,0.001653
1491,2,0.002,0.176,"F_WAT %in% c('3') & SleepAvg_WK %in% c('0','3')",0,0.824,0.001648
3886,2,0.002,0.178,"PA_WLK %in% c('1','2','3') & SleepAvg_WK %in% c('0','3')",0,0.822,0.001644
1072,3,0.002,0.179,"M_SLP_EN %in% c('1') & O_BR_FQ %in% c('1','2') & E_FM_YBS_8 %in% c('9999')",0,0.821,0.001642
5085,5,0.003,0.453,"F_WAT %in% c('2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & INT_WD_MM %in% c('1') & GRADE %in% c('1','3','4','5','6')",1,0.547,0.001641
5280,7,0.003,0.453,"F_BR %in% c('3','4','5','6','7','8') & PA_VIG %in% c('2','4','5','6') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & HW_S_R %in% c('1','3','5','10') & I_SB_BK %in% c('3') & AGE>3.5",1,0.547,0.001641
5940,5,0.002,0.18,"F_BR %in% c('2','3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('0','9999') & O_BR_S %in% c('1','2') & HW_S_R %in% c('1','2','3','4','5')",0,0.82,0.00164
3607,3,0.002,0.186,"F_WAT %in% c('1','2') & AC_FAGE %in% c('3','4') & GRADE %in% c('3','4','5','6')",0,0.814,0.001628
5306,5,0.003,0.458,"WC_MN_M03 %in% c('1') & O_DC_FQ %in% c('2') & HW_SPML_S %in% c('3','4') & HW_SPGO_H %in% c('3','4') & HW_S_R %in% c('1','3','5','9','10')",1,0.542,0.001626
4030,4,0.003,0.459,"F_MILK %in% c('1') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & HW_S_R %in% c('4','6','8','10')",1,0.541,0.001623
4530,3,0.003,0.459,"F_CAFFEINE %in% c('3','4','5','6','7') & F_MILK %in% c('1') & WC_MN_M03 %in% c('1')",1,0.541,0.001623
4295,5,0.003,0.465,"F_CS %in% c('2') & PA_MSC %in% c('1') & WC_MN %in% c('1','3','4') & WC_MN_M03 %in% c('1') & AGE>4.5",1,0.535,0.001605
1213,4,0.003,0.466,"PA_TOT %in% c('1') & WC_MN_M03 %in% c('1') & HW_S_R %in% c('2','7','9') & E_S_RCRD %in% c('1')",1,0.534,0.001602
3842,6,0.002,0.2,"PR_HT %in% c('3','4','5') & PA_MSC %in% c('1','3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & TC_GHW_QT %in% c('3','9999') & E_EDU_F %in% c('1','2')",1,0.8,0.0016
2241,3,0.002,0.203,"O_BR_FQ %in% c('1','2') & HW_SPGO_H %in% c('3','4') & INT_WK_MM %in% c('1')",0,0.797,0.001594
3451,6,0.003,0.469,"PA_SWK_N %in% c('0','1','3','4','5','6','7','8','9','10','11','12') & PA_TRA_MM %in% c('1') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_SYMP2 %in% c('0') & GRADE %in% c('2')",1,0.531,0.001593
1131,5,0.003,0.471,"F_FASTFOOD %in% c('3','4','5','6','7') & F_VEG %in% c('1','4','5','6','7') & PA_MSC %in% c('1','3') & WC_MN %in% c('2') & HW_S_R %in% c('7','9','10')",1,0.529,0.001587
