,len,freq,err,condition,pred,Acc,new_standard
3935,2,0.61,0.127,"WC_MN_M03 %in% c('0','9999') & TC_SND_S %in% c('1')",0,0.873,0.53253
489,1,0.671,0.209,"E_EDU_M %in% c('1','2','4','8888')",0,0.791,0.530761
2071,1,0.667,0.205,RH_DG_YR %in% c('9999'),0,0.795,0.530265
3374,2,0.62,0.146,"WC_MN %in% c('1','3','4') & GRADE %in% c('2','3','4','5','6')",0,0.854,0.52948
159,1,0.627,0.156,"WC_MN %in% c('1','4')",0,0.844,0.529188
2113,1,0.672,0.213,"PA_SWD_N %in% c('2','3','4','5','6','7')",0,0.787,0.528864
1775,1,0.663,0.203,"F_MILK %in% c('2','4','5','6','7')",0,0.797,0.528411
4373,2,0.61,0.134,"WC_MN_M03 %in% c('0','9999') & M_SLP_EN %in% c('1','3','4','5')",0,0.866,0.52826
1543,2,0.597,0.119,"WC_MN_M03 %in% c('0','9999') & O_SYMP6 %in% c('0')",0,0.881,0.525957
372,1,0.657,0.201,"F_BR %in% c('4','5','6','7','8')",0,0.799,0.524943
5025,1,0.657,0.202,"E_FM_YBS_8 %in% c('8','8888')",0,0.798,0.524286
1446,1,0.656,0.201,"F_MILK %in% c('3','4','5','6','7')",0,0.799,0.524144
259,1,0.653,0.198,"PA_VIG %in% c('3','4','5','6')",0,0.802,0.523706
1293,2,0.639,0.181,"PR_HT %in% c('1','2') & PA_MSC %in% c('1','3','4','5','6')",0,0.819,0.523341
5757,2,0.588,0.111,"PR_HT %in% c('1','2','5') & WC_MN_M03 %in% c('0','9999')",0,0.889,0.522732
2879,2,0.644,0.189,O_SYMP6 %in% c('0') & ECZ_DG_LT %in% c('1'),0,0.811,0.522284
1176,1,0.643,0.189,"PA_MSC %in% c('2','3','4','5','6')",0,0.811,0.521473
430,2,0.585,0.11,"PR_HT %in% c('1','2') & WC_MN_M03 %in% c('0','9999')",0,0.89,0.52065
802,3,0.597,0.128,"WC_MN_M03 %in% c('0','9999') & AC_FAGE %in% c('3','4','5','6','7','8','9','10','11','12','13','14') & ECZ_DG_LT %in% c('1')",0,0.872,0.520584
31,1,0.657,0.208,"F_CS %in% c('2','3','4','5','6','7')",0,0.792,0.520344
5752,2,0.592,0.123,"WC_MN_M03 %in% c('0','9999') & TC_SND_H %in% c('1','2')",0,0.877,0.519184
709,1,0.644,0.197,F_CS_F04 %in% c('9999'),0,0.803,0.517132
2808,1,0.651,0.206,"PR_OH %in% c('3','4','5')",0,0.794,0.516894
4897,2,0.649,0.205,"HW_SPML_S %in% c('2','3','4') & E_EDU_M %in% c('2','3','8888')",0,0.795,0.515955
655,2,0.585,0.119,"WC_MN_M03 %in% c('0','9999') & HW_SPGO_H %in% c('1','2')",0,0.881,0.515385
1589,1,0.649,0.207,"HW_S_R %in% c('2','4','5','6','7')",0,0.793,0.514657
499,1,0.657,0.217,"INT_WK_MM %in% c('2','3','4','5','6','7','8','9','10')",0,0.783,0.514431
5101,1,0.643,0.201,"E_FM_GM_6 %in% c('6','8888')",0,0.799,0.513757
5063,2,0.624,0.178,"PR_HT %in% c('1','2') & PA_VIG %in% c('1','2','4','5','6')",0,0.822,0.512928
4147,1,0.644,0.206,"HW_S_R %in% c('2','4','6','8','10')",0,0.794,0.511336
4641,1,0.648,0.212,"INT_WD_MM %in% c('1','2','3','4','5')",0,0.788,0.510624
5941,2,0.588,0.134,"WC_MN_M03 %in% c('0','9999') & HW_S_R %in% c('1','2','3','4','5')",0,0.866,0.509208
3704,2,0.574,0.114,"WC_MN_M03 %in% c('0','9999') & AGE<=5.5",0,0.886,0.508564
3671,1,0.628,0.195,"PA_VIG %in% c('2','4','5','6')",0,0.805,0.50554
5805,2,0.585,0.136,"WC_MN_M03 %in% c('0','9999') & HW_SPML_S %in% c('2','3','4')",0,0.864,0.50544
4813,3,0.636,0.207,"HW_S_R %in% c('1','2','3','4','5','6','8') & RH_DG_YR %in% c('1','9999') & E_LT_F %in% c('1','8888')",0,0.793,0.504348
3829,1,0.635,0.207,"PA_SWD_N %in% c('1','3','4','5','6','7')",0,0.793,0.503555
5633,2,0.582,0.135,"F_WAT %in% c('1','2','4','5') & WC_MN_M03 %in% c('0','9999')",0,0.865,0.50343
2010,1,0.628,0.199,"PA_TOT %in% c('3','4','5','6','7','8')",0,0.801,0.503028
1997,2,0.578,0.13,"WC_MN_M03 %in% c('0','9999') & O_OCP3 %in% c('9999')",0,0.87,0.50286
954,1,0.652,0.229,"GRADE %in% c('2','4','5','6')",0,0.771,0.502692
1832,1,0.631,0.206,"HW_S_R %in% c('2','4','7','9')",0,0.794,0.501014
5872,2,0.655,0.236,"GRADE %in% c('3','4','5','6') & SleepAvg_WK %in% c('1','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20')",0,0.764,0.50042
1400,1,0.62,0.193,"O_DC_FQ %in% c('2','3','4','5')",0,0.807,0.50034
1892,1,0.633,0.21,I_SB_FR %in% c('2'),0,0.79,0.50007
5441,2,0.575,0.133,"WC_MN_M03 %in% c('0','9999') & HW_S_R %in% c('1','2','4','5','7','9')",0,0.867,0.498525
1648,1,0.645,0.229,"PR_HT %in% c('2','3','4','5')",0,0.771,0.497295
335,1,0.646,0.233,"F_WAT %in% c('1','4','5')",0,0.767,0.495482
3657,2,0.584,0.152,"F_CS_F06 %in% c('9999') & WC_MN %in% c('1','4')",0,0.848,0.495232
4990,1,0.63,0.214,HW_EDU %in% c('1'),0,0.786,0.49518
745,1,0.641,0.228,"PR_HT %in% c('2','3','4')",0,0.772,0.494852
4576,1,0.595,0.173,AGE<=4.5,0,0.827,0.492065
800,1,0.618,0.204,"F_FASTFOOD %in% c('2','4','5','6','7')",0,0.796,0.491928
3707,2,0.565,0.13,"WC_MN_M03 %in% c('0','9999') & HW_S_R %in% c('2','3','4','5','9')",0,0.87,0.49155
5068,2,0.567,0.134,"WC_MN_M03 %in% c('0','9999') & E_S_RCRD %in% c('1','3','4','5')",0,0.866,0.491022
1292,2,0.562,0.127,"WC_MN_M03 %in% c('0','9999') & E_EDU_F %in% c('1','3','8888','9999')",0,0.873,0.490626
5913,1,0.622,0.214,I_SCH_ED5 %in% c('9999'),0,0.786,0.488892
1724,2,0.558,0.128,"WC_MN_M03 %in% c('0','9999') & HW_S_R %in% c('2','5','6','7','9','10')",0,0.872,0.486576
328,1,0.608,0.201,"F_FRUIT %in% c('2','4','5','6','7')",0,0.799,0.485792
3892,1,0.61,0.206,"TC_GHW_QT %in% c('2','3','4')",0,0.794,0.48434
1105,2,0.554,0.127,"WC_MN_M03 %in% c('0','9999') & E_EDU_M %in% c('1','3','8888','9999')",0,0.873,0.483642
12,1,0.605,0.201,"F_CS %in% c('1','3','4','5','6','7')",0,0.799,0.483395
3307,2,0.616,0.216,"PR_OH %in% c('1','3','4','5') & GRADE %in% c('1','3','4','5','6')",0,0.784,0.482944
6102,2,0.553,0.129,"WC_MN_M03 %in% c('0','9999') & HW_S_R %in% c('2','3','5','9')",0,0.871,0.481663
5484,2,0.603,0.202,"I_SCH_TRT %in% c('1') & E_EDU_F %in% c('3','4','8888','9999')",0,0.798,0.481194
53,1,0.602,0.204,"I_SB_EX %in% c('1','2')",0,0.796,0.479192
3254,1,0.597,0.199,"PA_TOT %in% c('2','4','5','6','7','8')",0,0.801,0.478197
2331,1,0.608,0.214,"E_EDU_F %in% c('1','2','3','4','9999')",0,0.786,0.477888
3472,1,0.608,0.214,"E_FM_YBS_8 %in% c('8','9999')",0,0.786,0.477888
5984,2,0.594,0.202,"PR_OH %in% c('2','3','4','5') & HW_S_R %in% c('2','4','5','6','10')",0,0.798,0.474012
4349,1,0.589,0.2,"PA_SWD_N %in% c('0','1','2')",0,0.8,0.4712
261,1,0.582,0.191,AC_LT %in% c('1'),0,0.809,0.470838
