,M_SLP_HR_K,M_WK_HR_K,일어난 시각 - 잠에 든 시각,절대값
8477,3.0,7.0,4.0,4.0
8478,3.0,8.0,5.0,5.0
8479,24.0,8.0,-16.0,16.0
8480,5.0,13.0,8.0,8.0
8481,2.0,8.0,6.0,6.0
8482,1.0,8.0,7.0,7.0
8483,24.0,9.0,-15.0,15.0
8484,13.0,8.0,-5.0,5.0
8485,24.0,9.0,-15.0,15.0
8486,3.0,11.0,8.0,8.0
8487,24.0,22.0,-2.0,2.0
8488,3.0,8.0,5.0,5.0
8489,24.0,7.0,-17.0,17.0
8490,24.0,9.0,-15.0,15.0
8494,24.0,13.0,-11.0,11.0
8495,1.0,10.0,9.0,9.0
8496,2.0,13.0,11.0,11.0
8497,3.0,7.0,4.0,4.0
8501,23.0,21.0,-2.0,2.0
8502,3.0,10.0,7.0,7.0
8503,2.0,11.0,9.0,9.0
8504,21.0,9.0,-12.0,12.0
8505,24.0,4.0,-20.0,20.0
8506,1.0,8.0,7.0,7.0
8507,24.0,7.0,-17.0,17.0
8510,3.0,11.0,8.0,8.0
8511,2.0,12.0,10.0,10.0
8514,5.0,12.0,7.0,7.0
8515,3.0,12.0,9.0,9.0
8516,5.0,9.0,4.0,4.0
8517,2.0,11.0,9.0,9.0
8519,24.0,8.0,-16.0,16.0
8520,3.0,11.0,8.0,8.0
8521,4.0,14.0,10.0,10.0
8522,24.0,7.0,-17.0,17.0
8523,23.0,11.0,-12.0,12.0
8524,1.0,8.0,7.0,7.0
8525,1.0,10.0,9.0,9.0
8526,24.0,8.0,-16.0,16.0
8527,3.0,11.0,8.0,8.0
8533,2.0,10.0,8.0,8.0
8534,6.0,16.0,10.0,10.0
8537,24.0,10.0,-14.0,14.0
8539,2.0,7.0,5.0,5.0
8541,24.0,6.0,-18.0,18.0
8542,1.0,9.0,8.0,8.0
8543,24.0,11.0,-13.0,13.0
8544,24.0,12.0,-12.0,12.0
8545,23.0,5.0,-18.0,18.0
8548,1.0,7.0,6.0,6.0
8551,2.0,18.0,16.0,16.0
8552,1.0,10.0,9.0,9.0
8553,12.0,6.0,-6.0,6.0
8554,2.0,9.0,7.0,7.0
8569,13.0,9.0,-4.0,4.0
8603,24.0,8.0,-16.0,16.0
8607,22.0,8.0,-14.0,14.0
8609,1.0,7.0,6.0,6.0
8610,23.0,10.0,-13.0,13.0
8611,23.0,8.0,-15.0,15.0
8614,3.0,10.0,7.0,7.0
8616,24.0,8.0,-16.0,16.0
8617,2.0,11.0,9.0,9.0
8618,2.0,11.0,9.0,9.0
8620,1.0,9.0,8.0,8.0
8625,22.0,7.0,-15.0,15.0
8626,1.0,11.0,10.0,10.0
8627,24.0,7.0,-17.0,17.0
8633,7.0,8.0,1.0,1.0
8634,1.0,21.0,20.0,20.0
8644,1.0,11.0,10.0,10.0
8648,1.0,10.0,9.0,9.0
8651,1.0,10.0,9.0,9.0
8654,24.0,7.0,-17.0,17.0
8656,3.0,9.0,6.0,6.0
8658,1.0,7.0,6.0,6.0
8660,22.0,7.0,-15.0,15.0
8662,24.0,8.0,-16.0,16.0
8663,2.0,11.0,9.0,9.0
8664,1.0,9.0,8.0,8.0
8666,3.0,13.0,10.0,10.0
8668,22.0,9.0,-13.0,13.0
8669,2.0,6.0,4.0,4.0
8671,24.0,12.0,-12.0,12.0
8673,3.0,9.0,6.0,6.0
8676,2.0,13.0,11.0,11.0
8677,24.0,9.0,-15.0,15.0
8678,24.0,10.0,-14.0,14.0
8679,2.0,8.0,6.0,6.0
8680,3.0,11.0,8.0,8.0
8681,5.0,7.0,2.0,2.0
8682,22.0,7.0,-15.0,15.0
8686,3.0,7.0,4.0,4.0
8687,22.0,8.0,-14.0,14.0
8688,24.0,10.0,-14.0,14.0
8689,24.0,10.0,-14.0,14.0
8691,24.0,10.0,-14.0,14.0
8693,1.0,8.0,7.0,7.0
8694,3.0,6.0,3.0,3.0
8695,23.0,7.0,-16.0,16.0
8696,4.0,12.0,8.0,8.0
8697,3.0,9.0,6.0,6.0
8699,23.0,8.0,-15.0,15.0
8700,2.0,8.0,6.0,6.0
8703,24.0,6.0,-18.0,18.0
8704,1.0,7.0,6.0,6.0
8705,2.0,10.0,8.0,8.0
8709,23.0,6.0,-17.0,17.0
8710,23.0,9.0,-14.0,14.0
8711,24.0,11.0,-13.0,13.0
8714,2.0,11.0,9.0,9.0
8718,22.0,9.0,-13.0,13.0
8719,24.0,9.0,-15.0,15.0
8720,1.0,12.0,11.0,11.0
8721,23.0,7.0,-16.0,16.0
8722,23.0,7.0,-16.0,16.0
8723,4.0,12.0,8.0,8.0
8724,2.0,11.0,9.0,9.0
8726,1.0,8.0,7.0,7.0
8728,1.0,9.0,8.0,8.0
8736,2.0,11.0,9.0,9.0
8740,23.0,8.0,-15.0,15.0
8741,23.0,12.0,-11.0,11.0
8742,22.0,5.0,-17.0,17.0
8743,24.0,8.0,-16.0,16.0
8744,24.0,7.0,-17.0,17.0
8745,1.0,5.0,4.0,4.0
8746,4.0,13.0,9.0,9.0
8747,1.0,10.0,9.0,9.0
8748,2.0,8.0,6.0,6.0
8749,24.0,9.0,-15.0,15.0
8752,24.0,8.0,-16.0,16.0
8753,14.0,9.0,-5.0,5.0
8754,3.0,12.0,9.0,9.0
8755,3.0,13.0,10.0,10.0
8756,10.0,17.0,7.0,7.0
8757,1.0,10.0,9.0,9.0
8758,1.0,7.0,6.0,6.0
8759,4.0,19.0,15.0,15.0
8760,24.0,8.0,-16.0,16.0
8761,1.0,8.0,7.0,7.0
8762,1.0,7.0,6.0,6.0
8763,1.0,15.0,14.0,14.0
8764,2.0,9.0,7.0,7.0
8765,4.0,14.0,10.0,10.0
8766,24.0,8.0,-16.0,16.0
8767,24.0,9.0,-15.0,15.0
8768,3.0,10.0,7.0,7.0
8769,24.0,10.0,-14.0,14.0
8770,1.0,9.0,8.0,8.0
8771,1.0,10.0,9.0,9.0
8772,3.0,13.0,10.0,10.0
8773,1.0,8.0,7.0,7.0
8774,3.0,6.0,3.0,3.0
8775,1.0,8.0,7.0,7.0
8776,2.0,3.0,1.0,1.0
8781,24.0,8.0,-16.0,16.0
8782,2.0,8.0,6.0,6.0
8790,24.0,10.0,-14.0,14.0
8792,1.0,10.0,9.0,9.0
8793,23.0,13.0,-10.0,10.0
8794,3.0,13.0,10.0,10.0
8795,24.0,8.0,-16.0,16.0
8796,2.0,8.0,6.0,6.0
8797,4.0,23.0,19.0,19.0
8863,24.0,18.0,-6.0,6.0
8864,1.0,11.0,10.0,10.0
8865,23.0,8.0,-15.0,15.0
8866,22.0,8.0,-14.0,14.0
8867,24.0,12.0,-12.0,12.0
8868,2.0,11.0,9.0,9.0
8869,3.0,11.0,8.0,8.0
8870,2.0,10.0,8.0,8.0
8871,24.0,9.0,-15.0,15.0
8872,2.0,12.0,10.0,10.0
8873,23.0,7.0,-16.0,16.0
8874,1.0,9.0,8.0,8.0
8875,23.0,7.0,-16.0,16.0
8876,3.0,10.0,7.0,7.0
8877,23.0,8.0,-15.0,15.0
8878,24.0,11.0,-13.0,13.0
8879,2.0,7.0,5.0,5.0
8880,2.0,10.0,8.0,8.0
8881,23.0,8.0,-15.0,15.0
8882,1.0,10.0,9.0,9.0
8883,24.0,6.0,-18.0,18.0
8884,24.0,8.0,-16.0,16.0
8885,1.0,8.0,7.0,7.0
8886,1.0,9.0,8.0,8.0
8887,23.0,8.0,-15.0,15.0
8888,24.0,8.0,-16.0,16.0
8889,2.0,8.0,6.0,6.0
8890,24.0,18.0,-6.0,6.0
8891,1.0,7.0,6.0,6.0
8892,2.0,8.0,6.0,6.0
