Factors,BMI_0,Rank_BMI_0,BMI_1,Rank_BMI_1,cosine difference
F_CAFFEINE_4,0.500873327255249,324,0.48699691891670227,305,0.013876408338546753
F_CAFFEINE_5,0.4724125266075134,384,0.49547913670539856,288,0.023066610097885132
F_CAFFEINE_6,0.4870516359806061,356,0.5281649827957153,236,0.04111334681510925
F_CAFFEINE_7,0.3446006774902344,629,0.32516658306121826,608,0.019434094429016113
F_CS_1,0.38893967866897583,573,0.371418833732605,559,0.01752084493637085
F_CS_2,0.6472365260124207,144,0.6077882051467896,142,0.039448320865631104
F_CS_3,0.6147359609603882,162,0.5833194255828857,167,0.03141653537750244
F_CS_4,0.5916463136672974,180,0.5352188348770142,223,0.0564274787902832
F_CS_5,0.5329618453979492,254,0.5120083093643188,269,0.02095353603363037
F_CS_6,0.5175594091415405,286,0.498950332403183,281,0.018609076738357544
F_CS_7,0.41623455286026,515,0.371256023645401,560,0.04497852921485901
F_CS_F01_1,0.5938296914100647,175,0.5761806964874268,176,0.01764899492263794
F_CS_F01_9999,0.7032058238983154,99,0.6490282416343689,98,0.05417758226394653
F_CS_F02_2,0.6382981538772583,150,0.5782871246337891,174,0.06001102924346924
F_CS_F02_9999,0.6893954277038574,113,0.6352459192276001,119,0.054149508476257324
F_CS_F03_3,0.604261040687561,167,0.5556595921516418,198,0.04860144853591919
F_CS_F03_9999,0.6560172438621521,138,0.6082335710525513,140,0.04778367280960083
F_CS_F04_4,0.5632317662239075,206,0.4714943766593933,347,0.09173738956451416
F_CS_F04_9999,0.669715404510498,125,0.5488468408584595,206,0.12086856365203857
F_CS_F05_5,0.6271449327468872,154,0.5741398930549622,178,0.05300503969192505
F_CS_F05_9999,0.7005262970924377,102,0.6507959365844727,96,0.04973036050796509
F_CS_F06_6,0.6528114080429077,140,0.6244954466819763,128,0.028315961360931396
F_CS_F06_9999,0.7621605396270752,63,0.6614812016487122,89,0.10067933797836304
F_CS_F07_7,0.47426730394363403,377,0.4122810661792755,483,0.06198623776435852
F_CS_F07_9999,0.5622053742408752,209,0.5199570655822754,254,0.042248308658599854
F_CS_F08_8,0.6255398988723755,156,0.5614006519317627,189,0.06413924694061279
F_CS_F08_9999,0.7152891159057617,88,0.6447350978851318,107,0.07055401802062988
F_CS_F09_9,0.5938449501991272,174,0.6073153018951416,144,0.013470351696014404
F_CS_F09_9999,0.7359877824783325,77,0.664008378982544,86,0.07197940349578857
F_CS_F10_10,0.5890985727310181,181,0.5534802675247192,202,0.03561830520629883
F_CS_F10_9999,0.6823698282241821,117,0.6051843166351318,147,0.07718551158905029
F_CS_F11_11,0.6325799226760864,151,0.5836065411567688,166,0.04897338151931763
F_CS_F11_9999,0.6968560814857483,106,0.6082069277763367,141,0.08864915370941162
F_CS_F12_12,0.41670718789100647,511,0.36922723054885864,563,0.04747995734214783
F_CS_F12_9999,0.5141282081604004,301,0.46505123376846313,364,0.049076974391937256
F_EDU_1,0.4584599435329437,410,0.4413830637931824,417,0.017076879739761353
F_EDU_2,0.48715323209762573,355,0.43752047419548035,421,0.049632757902145386
F_FASTFOOD_1,0.4706156253814697,387,0.4617196023464203,372,0.008896023035049438
F_FASTFOOD_2,0.44545161724090576,442,0.3973871171474457,507,0.04806450009346008
F_FASTFOOD_3,0.44264471530914307,452,0.3983283042907715,503,0.04431641101837158
F_FASTFOOD_4,0.4986300766468048,328,0.4153692424297333,473,0.08326083421707153
F_FASTFOOD_5,0.4939233660697937,337,0.4199221134185791,462,0.0740012526512146
F_FASTFOOD_6,0.5156838297843933,294,0.4948294162750244,292,0.020854413509368896
F_FASTFOOD_7,0.34886765480041504,625,0.301355242729187,639,0.04751241207122803
F_FRUIT_1,0.387922078371048,576,0.4139379858970642,479,0.026015907526016235
F_FRUIT_2,0.39511895179748535,559,0.377052903175354,545,0.018066048622131348
F_FRUIT_3,0.41529756784439087,517,0.3742782473564148,553,0.041019320487976074
F_FRUIT_4,0.43460607528686523,476,0.37561506032943726,549,0.05899101495742798
F_FRUIT_5,0.41423773765563965,521,0.3658679127693176,567,0.04836982488632202
F_FRUIT_6,0.4606281816959381,406,0.39834827184677124,502,0.06227990984916687
F_FRUIT_7,0.46517980098724365,399,0.3845239281654358,532,0.08065587282180786
F_MILK_1,0.47318169474601746,380,0.4859502911567688,310,0.012768596410751343
F_MILK_2,0.45621588826179504,417,0.44475772976875305,408,0.011458158493041992
F_MILK_3,0.4604715406894684,407,0.4292179346084595,446,0.03125360608100891
F_MILK_4,0.4849257469177246,363,0.42547330260276794,450,0.059452444314956665
F_MILK_5,0.47291719913482666,382,0.4284863770008087,447,0.044430822134017944
F_MILK_6,0.5171715021133423,289,0.45739665627479553,383,0.05977484583854675
F_MILK_7,0.4912703037261963,343,0.43902093172073364,420,0.052249372005462646
F_SODA_1,0.4430171847343445,448,0.45507386326789856,387,0.012056678533554077
F_SODA_2,0.43741196393966675,465,0.41607534885406494,471,0.021336615085601807
F_SODA_3,0.41646164655685425,512,0.39124953746795654,522,0.025212109088897705
F_SODA_4,0.4504450857639313,428,0.4144079387187958,476,0.0360371470451355
F_SODA_5,0.5110063552856445,308,0.47556477785110474,340,0.035441577434539795
F_SODA_6,0.5876941084861755,182,0.5153908729553223,261,0.07230323553085327
